dataset,method,role,budget_detail,n_complete_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp,valid_cells,expected_cells,domains_per_complete_seed
DIOR,A,source,fixed_source_reference,1,1,42,27.71138623356819,,0.0,4,4,4
DIOR,AASFOD,ema,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,23.206909870107967,0.17746372780511613,-4.504476363460223,12,12,4
DIOR,AASFOD,student,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,19.140468537807465,0.3097922834424715,-8.570917695760727,12,12,4
DIOR,B,ema,common_1detector_epoch,3,3,42;43;44,28.11426768700282,0.06392593380957856,0.4028814534346263,12,12,4
DIOR,B,student,common_1detector_epoch,3,3,42;43;44,26.00209911664327,0.2704969714788079,-1.7092871169249217,12,12,4
DIOR,B_REG,ema,common_1detector_epoch,3,3,42;43;44,28.166266903281212,0.04665749641795383,0.4548806697130203,12,12,4
DIOR,C,ema,common_1detector_epoch,3,3,42;43;44,28.07480792204539,0.023714637827599517,0.3634216884771983,12,12,4
DIOR,C,student,common_1detector_epoch,3,3,42;43;44,25.495536377032597,0.24667659750170243,-2.2158498565355935,12,12,4
DIOR,D,ema,common_1detector_epoch,3,3,42;43;44,27.62311038871606,0.04536616070530775,-0.08827584485212962,12,12,4
DIOR,D,student,common_1detector_epoch,3,3,42;43;44,19.703042258818943,0.6362177319934167,-8.008343974749247,12,12,4
DIOR,E,ema,common_1detector_epoch,3,3,42;43;44,28.169492383797962,0.024662171069250498,0.4581061502297719,12,12,4
DIOR,E,student,common_1detector_epoch,3,3,42;43;44,25.601714973648388,0.768103249954997,-2.109671259919802,12,12,4
DIOR,F,ema,common_1detector_epoch,3,3,42;43;44,27.58986974755923,0.18679695814621022,-0.12151648600896199,12,12,4
DIOR,F,student,common_1detector_epoch,3,3,42;43;44,18.426825230320294,0.23178202606427228,-9.284561003247896,12,12,4
DIOR,F_text_only,ema,common_1detector_epoch,3,3,42;43;44,27.573565517862637,0.04409796231013474,-0.13782071570555368,12,12,4
DIOR,F_veto_only,ema,common_1detector_epoch,3,3,42;43;44,28.171044463912647,0.031040542263455366,0.45965823034445447,12,12,4
DIOR,IRG,ema,common_1detector_epoch,3,3,42;43;44,27.9883058120807,0.09153251272875908,0.27691957851250965,12,12,4
DIOR,IRG,student,common_1detector_epoch,3,3,42;43;44,26.021006082495052,0.12664045284147923,-1.690380151073138,12,12,4
DIOR,LPLD,ema,common_1detector_epoch,3,3,42;43;44,28.125823537508648,0.12447481122369196,0.41443730394045514,12,12,4
DIOR,LPLD,student,common_1detector_epoch,3,3,42;43;44,26.30697910984357,0.13772975715482932,-1.4044071237246196,12,12,4
DIOR,LoRA-CGA,ema,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,28.124138837059338,0.05522171641030568,0.41275260349114734,12,12,4
DIOR,LoRA-CGA+VLST,ema,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,28.132183725635212,0.05343140358946539,0.42079749206701916,12,12,4
DIOR,SFUT,ema,common_1detector_epoch,3,3,42;43;44,27.866534267862637,0.0018004682321368741,0.15514803429444632,12,12,4
DIOR,SFUT,student,common_1detector_epoch,3,3,42;43;44,26.025225470463436,0.115356566848221,-1.6861607631047566,12,12,4
DIOR,SFYOLO,ema,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,27.37818571428458,0.022446372320288774,-0.33320051928361255,12,12,4
DIOR,SFYOLO,student,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,21.357712397972744,0.19460264621891163,-6.3536738355954485,12,12,4
RSAR,A,source,fixed_source_reference,1,1,42,34.39238611608744,,0.0,8,8,8
RSAR,AASFOD,ema,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,11.642739021529755,0.7831640496381108,-22.749647094557684,24,24,8
RSAR,AASFOD,student,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,7.930751119662697,0.37094178807031275,-26.46163499642474,24,24,8
RSAR,B,ema,common_1detector_epoch,3,3,42;43;44,34.90326379736265,0.14342340261883108,0.5108776812752088,24,24,8
RSAR,B,student,common_1detector_epoch,3,3,42;43;44,19.629844464361668,0.8374172623060286,-14.762541651725769,24,24,8
RSAR,B_REG,ema,common_1detector_epoch,3,3,42;43;44,35.25260848303636,0.26020850319881544,0.8602223669489225,24,24,8
RSAR,C,ema,common_1detector_epoch,3,3,42;43;44,35.463661762575306,0.4587999053234523,1.0712756464878719,24,24,8
RSAR,C,student,common_1detector_epoch,3,3,42;43;44,23.389945024003584,0.2914248113587235,-11.002441092083851,24,24,8
RSAR,D,ema,common_1detector_epoch,3,3,42;43;44,33.11205909897884,0.3578772187944923,-1.2803270171085994,24,24,8
RSAR,D,student,common_1detector_epoch,3,3,42;43;44,19.482432259246707,3.0572046195914466,-14.90995385684073,24,24,8
RSAR,E,ema,common_1detector_epoch,3,3,42;43;44,35.43796862165133,0.148087301533094,1.045582505563895,24,24,8
RSAR,E,student,common_1detector_epoch,3,3,42;43;44,18.166852028419573,0.7689671110055076,-16.225534087667864,24,24,8
RSAR,F,ema,common_1detector_epoch,3,3,42;43;44,32.29267246400317,0.37662634313778554,-2.099713652084271,24,24,8
RSAR,F,student,common_1detector_epoch,3,3,42;43;44,16.391314985230565,1.046078195440486,-18.00107113085687,24,24,8
RSAR,F_text_only,ema,common_1detector_epoch,3,3,42;43;44,32.148393181463085,0.38845643427726456,-2.243992934624354,24,24,8
RSAR,F_veto_only,ema,common_1detector_epoch,3,3,42;43;44,35.35218921800455,0.34251974140415503,0.9598031019171079,24,24,8
RSAR,IRG,ema,common_1detector_epoch,3,3,42;43;44,36.62171624600887,0.1054143584552811,2.2293301299214363,24,24,8
RSAR,IRG,student,common_1detector_epoch,3,3,42;43;44,16.433538170531392,1.217019338975507,-17.958847945556045,24,24,8
RSAR,LPLD,ema,common_1detector_epoch,3,3,42;43;44,34.859338557968535,0.45886045212606047,0.46695244188110036,24,24,8
RSAR,LPLD,student,common_1detector_epoch,3,3,42;43;44,15.221583206827441,0.7777357113796288,-19.170802909259994,24,24,8
RSAR,LoRA-CGA,ema,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,34.86460677037636,0.5259259636590762,0.47222065428892773,24,24,8
RSAR,LoRA-CGA+VLST,ema,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,36.0040878256162,0.2516929894058413,1.611701709528764,24,24,8
RSAR,SFUT,ema,common_1detector_epoch,3,3,42;43;44,35.747225396335125,0.08177891710256611,1.3548392802476883,24,24,8
RSAR,SFUT,student,common_1detector_epoch,3,3,42;43;44,17.451776502033074,0.7844504905483334,-16.940609614054363,24,24,8
RSAR,SFYOLO,ema,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,32.21018553401033,0.6800170991045865,-2.182200582077106,24,24,8
RSAR,SFYOLO,student,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,13.736039563082159,1.0460497714453334,-20.656346553005278,24,24,8
